DLiP-ID,Mol Image,MW,XLogP,HBA,HBD,PSA,nRotatableBonds,nRings
D00000,,499.449,3.49,4,1,50.8,4,5
D00001,,490.579,4.05,5,0,67.67,6,5
D00002,,505.08,3.868,5,2,84.5,7,4
D00003,,450.583,2.666,5,3,98.9,7,4
D00004,,451.567,2.902,5,3,90.9,7,4
D00005,,465.619,4.639,5,1,81.06,6,4
D00006,,460.578,2.452,5,2,83.03,5,5
D00007,,464.566,2.462,5,3,115.97,6,4
D00008,,512.658,3.442,5,1,73.71,6,6
D00009,,515.632,2.052,6,3,125.04,8,4
D0000A,,507.406,3.582,4,2,103.78,6,4
D0000B,,497.621,1.733,5,2,116.05,3,5
D0000C,,459.587,2.386,5,2,88.16,6,4
D0000D,,464.566,2.462,5,3,115.97,6,4
D0000E,,471.605,3.633,5,2,79.26,6,5
D0000F,,470.599,1.139,6,1,89.09,3,5
D0000G,,484.547,3.166,6,3,88.41,6,5
D0000H,,450.583,2.666,5,3,98.9,7,4
D0000I,,466.582,1.85,6,3,94.14,8,4
D0000J,,460.538,5.221,7,1,106.58,4,5
D0000K,,461.393,4.058,4,1,69.88,3,4
D0000L,,498.605,2.211,8,1,111.89,6,5
D0000M,,491.857,4.54,3,1,41.57,6,4
D0000N,,453.474,1.652,7,1,106.01,4,5
D0000O,,454.552,4.692,7,1,102.66,6,5
D0000P,,517.851,4.091,3,1,58.64,3,5
D0000Q,,462.59,3.63,4,1,67.87,6,5
D0000R,,472.615,1.473,7,5,124.25,8,4
D0000S,,502.453,3.623,5,2,72.48,8,4
D0000T,,484.547,3.166,6,3,88.41,6,5
D0000U,,516.62,1.09,7,3,128.28,8,4
D0000V,,484.547,3.166,6,3,88.41,6,5
D0000W,,458.558,0.828,6,2,137.92,5,3
D0000X,,478.014,3.096,6,0,89.46,5,4
D0000Y,,450.558,2.919,4,3,87.46,4,5
D0000Z,,515.404,3.948,4,2,95.94,5,4
D00010,,462.493,3.747,6,0,70.12,7,4
D00011,,463.513,4.325,6,0,80.04,3,6
D00012,,469.532,3.728,5,1,65.38,6,5
D00013,,456.344,2.778,5,1,79.59,3,5
D00014,,514.604,1.702,6,3,150.11,6,4
D00015,,485.65,2.167,6,2,97.39,8,4
