"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL218200";"";"";"Small molecule";"";"488.50";"2";"2";"3.44";"150.67";"6";"4";"0";"8";"N";"0.28";"3.33";"8.62";"0.70";"0.68";"3";"MOL";"-1";"36";"10";"4";"0";"488.1696";"-1.00";"ZWITTERION";"C26H24N4O6";"O=C(O)CC(NC(=O)c1cc(C(=O)Nc2ccc3c(c2)CNCC3)cc([N+](=O)[O-])c1)c1ccccc1";"JCOVTLVBRHTAIH-UHFFFAOYSA-N"
"CHEMBL218963";"";"";"Small molecule";"";"473.53";"3";"4";"3.54";"116.76";"5";"4";"0";"8";"N";"0.40";"3.41";"8.62";"0.61";"0.59";"3";"MOL";"-1";"35";"8";"4";"0";"473.1951";"-0.74";"ZWITTERION";"C27H27N3O5";"COc1ccc(C(CC(=O)O)NC(=O)c2cccc(C(=O)Nc3ccc4c(c3)CNCC4)c2)cc1";"VHKHAQYPTPVIAP-UHFFFAOYSA-N"
"CHEMBL1836351";"";"";"Small molecule";"";"429.90";"3";"4";"2.40";"98.74";"4";"3";"0";"5";"N";"0.72";"3.61";"8.48";"-0.63";"-0.66";"2";"MOL";"-1";"29";"7";"3";"0";"393.1689";"-0.60";"ACID";"C22H24ClN3O4";"CC(CC(=O)O)N1Cc2ccc(NC(=O)c3ccc4c(c3)CNCC4)cc2C1=O.Cl";"PLPQUBBLGBDIKT-UHFFFAOYSA-N"
"CHEMBL218226";"";"";"Small molecule";"";"412.40";"2";"2";"1.70";"150.67";"6";"4";"0";"7";"N";"0.40";"2.98";"8.62";"-1.08";"-1.10";"2";"MOL";"-1";"30";"10";"4";"0";"412.1383";"-1.15";"ZWITTERION";"C20H20N4O6";"O=C(O)CCNC(=O)c1cc(C(=O)Nc2ccc3c(c2)CNCC3)cc([N+](=O)[O-])c1";"VGPKJRDGGNBIGH-UHFFFAOYSA-N"
"CHEMBL1098726";"";"";"Small molecule";"";"536.38";"21";"56";"4.40";"117.84";"6";"1";"1";"4";"N";"0.49";"1.98";"6.34";"2.74";"2.41";"3";"MOL";"-1";"37";"9";"1";"1";"535.0814";"-1.06";"ACID";"C26H19Cl2N5O4";"CN1C(=O)N(c2cc(Cl)cc(Cl)c2)C(=O)[C@]12CN(c1ccc(C(=O)O)cn1)C[C@H]2c1ccc(C#N)cc1";"LILGMDXLRPEBNH-HFZDXXHNSA-N"
"CHEMBL1836347";"";"";"Small molecule";"";"415.88";"3";"4";"2.02";"98.74";"4";"3";"0";"5";"N";"0.74";"3.52";"8.48";"-1.05";"-1.07";"2";"MOL";"-1";"28";"7";"3";"0";"379.1532";"-0.75";"ACID";"C21H22ClN3O4";"Cl.O=C(O)CCN1Cc2ccc(NC(=O)c3ccc4c(c3)CNCC4)cc2C1=O";"HUGQZSJOLXZACT-UHFFFAOYSA-N"
"CHEMBL32960";"";"L-709780";"Small molecule";"";"359.43";"7";"26";"1.24";"98.74";"4";"3";"0";"7";"N";"0.68";"3.18";"10.36";"-2.19";"-2.19";"1";"MOL";"-1";"26";"7";"3";"0";"359.1845";"-0.40";"ZWITTERION";"C19H25N3O4";"O=C(O)CCNC(=O)c1ccc2c(c1)C(=O)N(CCC1CCNCC1)C2";"YAAYYZAARZCUQN-UHFFFAOYSA-N"
"CHEMBL1836342";"";"";"Small molecule";"";"507.47";"3";"4";"2.45";"98.74";"4";"3";"0";"5";"N";"0.72";"2.85";"10.03";"-0.77";"-0.78";"2";"MOL";"-1";"29";"7";"3";"0";"393.1689";"-0.60";"ZWITTERION";"C24H24F3N3O6";"O=C(O)C(F)(F)F.O=C(O)CN1Cc2ccc(NC(=O)c3ccc(C4CCNCC4)cc3)cc2C1=O";"SSWSLPCUNMAUSZ-UHFFFAOYSA-N"
"CHEMBL219051";"";"";"Small molecule";"";"518.53";"2";"2";"3.45";"159.90";"7";"4";"1";"9";"N";"0.25";"3.26";"8.62";"0.55";"0.52";"3";"MOL";"-1";"38";"11";"4";"2";"518.1801";"-0.94";"ZWITTERION";"C27H26N4O7";"COc1ccc(C(CC(=O)O)NC(=O)c2cc(C(=O)Nc3ccc4c(c3)CNCC4)cc([N+](=O)[O-])c2)cc1";"FWTBEVQUAGZEME-UHFFFAOYSA-N"
"CHEMBL265628";"";"";"Protein";"";"433.42";"22";"104";"-4.79";"270.05";"8";"10";"1";"14";"N";"0.07";"3.23";"12.19";"-9.27";"-9.41";"0";"BOTH";"-1";"30";"15";"12";"2";"433.1921";"0.46";"ZWITTERION";"C15H27N7O8";"N=C(N)NCCC[C@H](N)C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CO)C(=O)O";"NNRFRJQMBSBXGO-CIUDSAMLSA-N"
"CHEMBL1836344";"";"";"Small molecule";"";"487.48";"3";"4";"2.23";"98.74";"4";"3";"0";"8";"N";"0.65";"3.52";"10.36";"-1.32";"-1.32";"1";"MOL";"-1";"27";"7";"3";"0";"373.2002";"-0.49";"ZWITTERION";"C22H28F3N3O6";"O=C(O)C(F)(F)F.O=C(O)CCN1Cc2ccc(NC(=O)CCCC3CCNCC3)cc2C1=O";"BBWKZZPNNLEBAU-UHFFFAOYSA-N"
"CHEMBL220128";"";"";"Small molecule";"";"443.50";"3";"4";"3.53";"107.53";"4";"4";"0";"7";"N";"0.45";"3.53";"8.62";"0.76";"0.74";"3";"MOL";"-1";"33";"7";"4";"0";"443.1845";"-0.77";"ZWITTERION";"C26H25N3O4";"O=C(O)CC(NC(=O)c1cccc(C(=O)Nc2ccc3c(c2)CNCC3)c1)c1ccccc1";"OCNALRIBAIFGLP-UHFFFAOYSA-N"
"CHEMBL376893";"";"";"Small molecule";"";"503.56";"3";"4";"3.55";"125.99";"6";"4";"1";"9";"N";"0.35";"3.62";"8.62";"0.45";"0.43";"3";"MOL";"-1";"37";"9";"4";"1";"503.2056";"-0.61";"ZWITTERION";"C28H29N3O6";"COc1ccc(C(CC(=O)O)NC(=O)c2cccc(C(=O)Nc3ccc4c(c3)CNCC4)c2)cc1OC";"KCPZTHQHJHVUCK-UHFFFAOYSA-N"
"CHEMBL1836355";"";"";"Small molecule";"";"355.82";"2";"2";"0.04";"107.53";"4";"4";"0";"7";"N";"0.57";"3.74";"8.51";"-2.98";"-3.01";"1";"MOL";"-1";"23";"7";"4";"0";"319.1532";"-0.68";"ZWITTERION";"C16H22ClN3O4";"Cl.O=C(O)CCNC(=O)CCNC(=O)c1ccc2c(c1)CNCC2";"OKRVWCMZJGSHNR-UHFFFAOYSA-N"
"CHEMBL385939";"";"";"Small molecule";"";"548.55";"2";"2";"3.46";"169.13";"8";"4";"1";"10";"N";"0.22";"3.22";"8.62";"0.39";"0.37";"3";"MOL";"-1";"40";"12";"4";"2";"548.1907";"-0.81";"ZWITTERION";"C28H28N4O8";"COc1ccc(C(CC(=O)O)NC(=O)c2cc(C(=O)Nc3ccc4c(c3)CNCC4)cc([N+](=O)[O-])c2)cc1OC";"GXEBJYPYNMZCSZ-UHFFFAOYSA-N"
"CHEMBL1836345";"";"";"Small molecule";"";"521.49";"3";"4";"2.84";"98.74";"4";"3";"0";"6";"N";"0.68";"3.52";"10.03";"-0.54";"-0.54";"2";"MOL";"-1";"30";"7";"3";"0";"407.1845";"-0.66";"ZWITTERION";"C25H26F3N3O6";"O=C(O)C(F)(F)F.O=C(O)CCN1Cc2ccc(NC(=O)c3ccc(C4CCNCC4)cc3)cc2C1=O";"JNAHDNDQSUGXPO-UHFFFAOYSA-N"
"CHEMBL1836348";"";"";"Small molecule";"";"423.94";"3";"4";"2.61";"98.74";"4";"3";"0";"8";"N";"0.64";"3.61";"10.36";"-0.90";"-0.90";"1";"MOL";"-1";"28";"7";"3";"0";"387.2158";"-0.34";"ZWITTERION";"C21H30ClN3O4";"CC(CC(=O)O)N1Cc2ccc(NC(=O)CCCC3CCNCC3)cc2C1=O.Cl";"MVAPRARLGZLDBX-UHFFFAOYSA-N"
"CHEMBL1836350";"";"";"Small molecule";"";"458.95";"3";"4";"2.17";"101.98";"5";"3";"0";"6";"N";"0.66";"3.61";"8.85";"-0.65";"-0.67";"2";"MOL";"-1";"31";"8";"3";"0";"422.1954";"-0.92";"ZWITTERION";"C23H27ClN4O4";"CC(CC(=O)O)N1Cc2ccc(NC(=O)c3ccc(N4CCNCC4)cc3)cc2C1=O.Cl";"DSAMJFLLUBEPQJ-UHFFFAOYSA-N"
"CHEMBL219603";"";"3-(3-(Carbamoyl)Benzamido)Propanoic Acid";"Small molecule";"";"367.41";"2";"2";"1.79";"107.53";"4";"4";"0";"6";"N";"0.62";"3.27";"8.62";"-1.02";"-1.04";"2";"MOL";"-1";"27";"7";"4";"0";"367.1532";"-0.91";"ZWITTERION";"C20H21N3O4";"O=C(O)CCNC(=O)c1cccc(C(=O)Nc2ccc3c(c2)CNCC3)c1";"MPYXISYAFIYYRD-UHFFFAOYSA-N"
"CHEMBL1836343";"";"";"Small molecule";"";"401.85";"3";"4";"1.62";"98.74";"4";"3";"0";"4";"N";"0.76";"2.84";"8.48";"-1.28";"-1.31";"2";"MOL";"-1";"27";"7";"3";"0";"365.1376";"-0.69";"ACID";"C20H20ClN3O4";"Cl.O=C(O)CN1Cc2ccc(NC(=O)c3ccc4c(c3)CNCC4)cc2C1=O";"ZLYJDZGAMYRBMF-UHFFFAOYSA-N"
