DLiP-ID,Mol Image,MW,XLogP,HBA,HBD,PSA,nRotatableBonds,nRings,Common Target Pref Name,Active
J00021,CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2cccc(OC(F)(F)F)c2)CC1,463.544,6.141,3,1,44.81,8,3,DCN1/UBE2M,Active
J00022,C=CC(=O)Nc1ccccc1CN(C(=O)Nc1cccc(C(F)(F)F)c1)C1CCN(CC2CC3C=CC2C3)CC1,552.641,5.663,3,2,64.68,8,5,DCN1/UBE2M,Active
J00023,CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2ccc(Cl)cc2)CC1,413.993,5.596,2,1,35.58,7,3,DCN1/UBE2M,Active
J00024,CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2cccc(Cc3ccccc3)c2)CC1,469.673,6.94,2,1,35.58,9,4,DCN1/UBE2M,Active
J00025,CC(C1CCC1)N1CCC(N(Cc2ccccc2)C(=O)Nc2cc(F)cc(C(F)(F)F)c2)CC1,477.546,6.017,2,1,35.58,6,4,DCN1/UBE2M,Active
J00026,CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2ccc(Cl)c(Cl)c2)CC1,448.438,6.218,2,1,35.58,7,3,DCN1/UBE2M,Active
J0002E,CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2ccc(C)c(F)c2)CC1,411.565,5.361,2,1,35.58,7,3,DCN1/UBE2M,Active
C101B7,COCC#Cc1cc(C(O)(C(F)(F)F)C(F)(F)F)cnc1-c1ccc(S(=O)(=O)c2ccc(N)nc2)cc1,545.461,4.629,7,2,115.4,5,3,Glucokinase/Glucokinase regulatory protein,Active
J00027,CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2cccc(S(F)(F)(F)(F)F)c2)CC1,505.597,6.808,2,1,35.58,8,3,DCN1/UBE2M,Active
J00028,CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2ccc(Oc3ccc(Cl)cc3)cc2)CC1,506.09,7.077,3,1,44.81,9,4,DCN1/UBE2M,Active
C000HJ,Cc1cccc2c3c(ccc12)C1=C(C(=O)C3=O)[C@@H](C)CO1,278.307,3.477,3,0,43.37,0,4,MENIN/MLL,Inactive
J0002A,CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2ccc(SC(F)(F)F)cc2)CC1,479.612,6.718,3,1,35.58,8,3,DCN1/UBE2M,Active
J0002B,CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2ccc(C)c([N+](=O)[O-])c2)CC1,438.572,5.092,4,1,78.72,8,3,DCN1/UBE2M,Active
J0002C,CCCCCCc1ccc(NC(=O)N(Cc2ccccc2)C2CCN(C(C)CCC)CC2)cc1,463.71,8.151,2,1,35.58,12,3,DCN1/UBE2M,Active
J0002D,CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2ccc(Cl)c(Cl)c2F)CC1,466.428,6.379,2,1,35.58,7,3,DCN1/UBE2M,Active
J0002F,CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2cccc(SC)c2)CC1,425.642,5.716,3,1,35.58,8,3,DCN1/UBE2M,Active
J0002G,CCCCN1CCC(N(Cc2ccccc2)C(=O)Nc2cc(F)cc(C(F)(F)F)c2)CC1,451.508,5.6,2,1,35.58,7,3,DCN1/UBE2M,Active
J0002H,CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2ccc(C#N)c(C(F)(F)F)c2)CC1,472.555,5.622,3,1,59.37,7,3,DCN1/UBE2M,Active
