DLiP-ID,Mol Image,MW,XLogP,HBA,HBD,PSA,nRotatableBonds,nRings,Common Target Pref Name,Active
T00000,,433.545,3.548,6,0,82.14,10,2,FKBP1A/FK506,Active
T00001,,520.61,5.492,6,1,80.89,5,6,"BCL-like/BAX,BAK",Inactive
T00002,,417.965,7.388,4,1,40.23,6,4,Neuropilin-1/VEGF-A,Active
T00003,,519.554,5.147,7,2,131.24,10,4,Integrins,Active
T00004,,519.554,5.147,7,2,131.24,10,4,Integrins,Active
T00005,,519.554,5.147,7,2,131.24,10,4,Integrins,Active
T00006,,323.389,1.069,5,1,89.54,4,2,FKBP1A/FK506,Inactive
T00007,,228.247,2.846,3,0,35.53,4,2,Transthyretin tetramer,Active
T00008,,717.829,-3.475,10,9,278.71,16,3,Cyclophilins,Inactive
T00009,,497.595,4.363,4,0,62.32,4,6,FKBP1A/FK506,Active
T0000A,,487.547,6.234,5,0,45.67,5,4,Integrins,Active
T0000B,,501.587,4.112,6,4,129.11,9,5,Integrins,Active
T0000C,,595.788,4.859,5,4,116.56,12,5,XIAP/SMAC,Active
T0000D,,531.845,4.374,5,2,95.94,8,3,Integrins,Active
T0000E,,531.845,4.374,5,2,95.94,8,3,Integrins,Active
T0000F,,347.418,4.246,3,2,63.25,5,3,Cyclophilins,Active
T0000G,,356.466,5.055,3,3,78.43,5,5,RAC1/TIAM1,Active
T0000H,,416.522,0.199,5,3,111.63,8,3,Integrins,Active
T0000I,,416.522,0.199,5,3,111.63,8,3,Integrins,Active
T0000J,,416.522,0.199,5,3,111.63,8,3,Integrins,Active
T0000K,,416.522,0.199,5,3,111.63,8,3,Integrins,Active
T0000L,,416.522,0.199,5,3,111.63,8,3,Integrins,Active
T0000M,,416.522,0.199,5,3,111.63,8,3,Integrins,Active
T0000N,,511.582,3.601,5,3,118.63,8,5,Integrins,Active
T0000O,,461.514,6.2,4,1,72.47,7,4,"BCL-like/BAX,BAK",Active
T0000P,,374.354,5.381,5,2,79.38,3,5,"BCL-like/BAX,BAK",Active
T0000Q,,602.693,1.487,7,7,238.41,10,2,Integrins,Active
T0000R,,295.423,2.827,3,0,54.45,7,1,FKBP1A/FK506,Active
T0000S,,488.371,3.065,5,3,100.55,11,3,Integrins,Active
T0000T,,488.371,3.065,5,3,100.55,11,3,Integrins,Active
T0000U,,451.984,5.28,7,3,108.25,9,2,Cyclophilins,Active
T0000V,,1138.346,-1.785,16,16,493.98,17,3,Integrins,Active
T0000W,,1138.346,-1.785,16,16,493.98,17,3,Integrins,Active
T0000X,,1138.346,-1.785,16,16,493.98,17,3,Integrins,Active
T0000Y,,1138.346,-1.785,16,16,493.98,17,3,Integrins,Active
T0000Z,,1138.346,-1.785,16,16,493.98,17,3,Integrins,Inactive
T00010,,458.609,4.598,6,2,101.05,7,4,Integrins,Inactive
T00011,,501.574,7.045,5,1,66.32,6,4,Integrins,Active
T00012,,429.86,5.482,6,2,87.72,5,4,"BCL-like/BAX,BAK",Active
T00013,,502.593,2.1,5,4,144.91,9,3,Integrins,Active
T00014,,502.593,2.1,5,4,144.91,9,3,Integrins,Inactive
