DLiP-ID,Canonical SMILES(RDKit),MW,XLogP,HBA,HBD,PSA,nRotatableBonds,nRings,Common Target Pref Name,Active
T00000,CCC(C)(C)C(=O)C(=O)N1CCCCC1C(=O)OCCCc1cc(OC)ccc1OC,433.545,3.548,6,0,82.14,10,2,FKBP1A/FK506,Active
T00001,COc1ccccc1C1C2=C(N=c3s/c(=C\c4ccc(/C=C/C(=O)O)cc4)c(=O)n31)c1ccccc1CC2,520.61,5.492,6,1,80.89,5,6,"BCL-like/BAX,BAK",Inactive
T00002,CSc1ccc(-c2c(C#N)c3cccc(Cl)n3c2NCCc2ccccc2)cc1,417.965,7.388,4,1,40.23,6,4,Neuropilin-1/VEGF-A,Active
T00003,COc1cccc(OC)c1-c1ccc(C[C@H](NC(=O)[C@@H]2CCCN2c2ccc([N+](=O)[O-])cc2)C(=O)O)cc1,519.554,5.147,7,2,131.24,10,4,Integrins,Active
T00004,COc1cccc(OC)c1-c1ccc(C[C@H](NC(=O)[C@@H]2CCCN2c2ccc([N+](=O)[O-])cc2)C(=O)O)cc1,519.554,5.147,7,2,131.24,10,4,Integrins,Active
T00005,COc1cccc(OC)c1-c1ccc(C[C@H](NC(=O)[C@@H]2CCCN2c2ccc([N+](=O)[O-])cc2)C(=O)O)cc1,519.554,5.147,7,2,131.24,10,4,Integrins,Active
T00006,CC(=O)O[C@H](CC1CC(=O)NC(=O)C1)[C@@H]1C[C@@H](C)C[C@H](C)C1=O,323.389,1.069,5,1,89.54,4,2,FKBP1A/FK506,Inactive
T00007,COc1cc(C=O)ccc1Oc1ccccc1,228.247,2.846,3,0,35.53,4,2,Transthyretin tetramer,Active
T00008,CC(=O)N[C@H](C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](C)C(=O)NCC(=O)N1CCC[C@H]1C(=O)NC1(C(=O)N[C@H](C)C(N)=O)CCNCC1)C(C)C,717.829,-3.475,10,9,278.71,16,3,Cyclophilins,Inactive
T00009,COc1cc2c(c(OC)c1)C1C3CCCC(C(=O)N1CC2)N3C(=O)N(c1ccccc1)c1ccccc1,497.595,4.363,4,0,62.32,4,6,FKBP1A/FK506,Active
T0000A,COc1ccccc1Sc1ccc(-c2ccnc(N3CCN(C(C)=O)CC3)c2)cc1C(F)(F)F,487.547,6.234,5,0,45.67,5,4,Integrins,Active
T0000B,O=C(O)CCc1cc(=O)n(CC(=O)NCC2CCC(Nc3nc4ccccc4[nH]3)CC2)c2ccccc12,501.587,4.112,6,4,129.11,9,5,Integrins,Active
T0000C,CC[C@H](N)C(=O)N[C@@H]1C(=O)N2[C@H](CC[C@H]2C(=O)NC(c2ccccc2)c2ccccc2)CC[C@@H]1CCNCc1ccccc1,595.788,4.859,5,4,116.56,12,5,XIAP/SMAC,Active
T0000D,CC(=O)N1CSC[C@@H]1C(=O)N[C@@H](Cc1ccc(OCc2c(Cl)cc(Cl)cc2Cl)cc1)C(=O)O,531.845,4.374,5,2,95.94,8,3,Integrins,Active
T0000E,CC(=O)N1CSC[C@@H]1C(=O)N[C@@H](Cc1ccc(OCc2c(Cl)cc(Cl)cc2Cl)cc1)C(=O)O,531.845,4.374,5,2,95.94,8,3,Integrins,Active
T0000F,Cc1cccc(NC(=O)Nc2ncccc2OCc2ccccc2)c1C,347.418,4.246,3,2,63.25,5,3,Cyclophilins,Active
T0000G,Cc1ccc(NC(=O)CNC(=O)CC23CC4CC(CC(C4)C2)C3)c(O)c1,356.466,5.055,3,3,78.43,5,5,RAC1/TIAM1,Active
T0000H,O=C(O)C[C@H](NC(=O)[C@@H]1CCCN(C(=O)CCC2CCNCC2)C1)c1cccnc1,416.522,0.199,5,3,111.63,8,3,Integrins,Active
T0000I,O=C(O)C[C@H](NC(=O)[C@@H]1CCCN(C(=O)CCC2CCNCC2)C1)c1cccnc1,416.522,0.199,5,3,111.63,8,3,Integrins,Active
T0000J,O=C(O)C[C@@H](NC(=O)[C@@H]1CCCN(C(=O)CCC2CCNCC2)C1)c1cccnc1,416.522,0.199,5,3,111.63,8,3,Integrins,Active
T0000K,O=C(O)C[C@@H](NC(=O)[C@@H]1CCCN(C(=O)CCC2CCNCC2)C1)c1cccnc1,416.522,0.199,5,3,111.63,8,3,Integrins,Active
T0000L,O=C(O)CC(NC(=O)C1CCCN(C(=O)CCC2CCNCC2)C1)c1cccnc1,416.522,0.199,5,3,111.63,8,3,Integrins,Active
T0000M,O=C(O)CC(NC(=O)C1CCCN(C(=O)CCC2CCNCC2)C1)c1cccnc1,416.522,0.199,5,3,111.63,8,3,Integrins,Active
T0000N,CN1Cc2cc(C(=O)N(CCc3ccccc3)Cc3nc4ccccc4[nH]3)ccc2N[C@@H](CC(=O)O)C1=O,511.582,3.601,5,3,118.63,8,5,Integrins,Active
