DLiP-ID,Target Pref Name
T00000,FKBP1A/FK506
T00001,Bcl-2 and Bcl-XL with BAX; BAK and BID
T00002,Neuropilin-1/VEGF-A
T00003,Integrins
T00004,Integrins
T00005,Integrins
T00006,FKBP1A/FK506
T00007,Transthyretin tetramer
T00008,Cyclophilins
T00009,FKBP1A/FK506
T0000A,Integrins
T0000B,Integrins
T0000C,XIAP/Caspase9 or SMAC (BIR3 domanin)
T0000D,Integrins
T0000E,Integrins
T0000F,Cyclophilins
T0000G,Rac1/GEFs
T0000H,Integrins
T0000I,Integrins
T0000J,Integrins
T0000K,Integrins
T0000L,Integrins
T0000M,Integrins
T0000N,Integrins
T0000O,Bcl-2 and Bcl-XL with BAX; BAK and BID
T0000P,Bcl-2 and Bcl-XL with BAX; BAK and BID
T0000Q,Integrins
T0000R,FKBP1A/FK506
T0000S,Integrins
T0000T,Integrins
T0000U,Cyclophilins
T0000V,Integrins
T0000W,Integrins
T0000X,Integrins
T0000Y,Integrins
T0000Z,Integrins
T00010,Integrins
T00011,Integrins
T00012,Bcl-2 and Bcl-XL with BAX; BAK and BID
T00013,Integrins
T00014,Integrins
T00015,Integrins
T00016,Integrins
T00017,Integrins
T00018,Integrins
T00019,Integrins
T0001A,Integrins
T0001B,FKBP1A/FK506
T0001C,Integrins
T0001D,Integrins
T0001E,Bcl-2 and Bcl-XL with BAX; BAK and BID
T0001F,Integrins
T0001G,Integrins
T0001H,FKBP1A/FK506
T0001I,Integrins
T0001J,Integrins
T0001K,FKBP1A/FK506
T0001L,Integrins
T0001M,Integrins
T0001N,Integrins
T0001O,Integrins
T0001P,Integrins
T0001Q,Integrins
T0001R,Integrins
T0001S,Integrins
T0001T,Integrins
T0001U,Integrins
T0001V,Integrins
T0001W,Neuropilin-1/VEGF-A
T0001X,FKBP1A/FK506
T0001Y,Integrins
T0001Z,Integrins
T00020,Integrins
T00021,Integrins
T00022,Integrins
T00023,Integrins
T00024,Integrins
T00025,Integrins
T00026,Bcl-2 and Bcl-XL with BAX; BAK and BID
T00027,Integrins
T00028,Integrins
T00029,Integrins
T0002A,Integrins
T0002B,Bcl-2 and Bcl-XL with BAX; BAK and BID
T0002C,Integrins
T0002D,Integrins
T0002E,Integrins
T0002F,Integrins
T0002G,Bcl-2 and Bcl-XL with BAX; BAK and BID
T0002H,Bcl-2 and Bcl-XL with BAX; BAK and BID
T0002I,Integrins
T0002J,Integrins
T0002K,Integrins
T0002L,Integrins
T0002M,Integrins
T0002N,Integrins
T0002O,Integrins
T0002P,Integrins
T0002Q,Integrins
T0002R,FKBP1A/FK506
T0002S,Integrins
T0002T,Integrins
T0002U,Integrins
T0002V,Integrins
T0002W,p53/MDMX
T0002X,Integrins
T0002Y,Integrins
T0002Z,Bcl-2 and Bcl-XL with BAX; BAK and BID
T00030,XIAP/Caspase9 or SMAC (BIR3 domanin)
T00031,Integrins
T00032,Integrins
T00033,Transthyretin tetramer
T00034,Rac1/GEFs
T00035,Integrins
T00036,XIAP/Caspase9 or SMAC (BIR3 domanin)
T00037,Rac1/GEFs
T00038,Integrins
T00039,Integrins
T0003A,Integrins
T0003B,Integrins
T0003C,Integrins
T0003D,Integrins
T0003E,Integrins
T0003F,HIF-1a/p300
T0003G,FKBP1A/FK506
T0003H,Bcl-2 and Bcl-XL with BAX; BAK and BID
T0003I,Integrins
T0003J,HIF-1a/p300
T0003K,Integrins
T0003L,Integrins
T0003M,Integrins
T0003N,Integrins
T0003O,Integrins
T0003P,XIAP/Caspase9 or SMAC (BIR3 domanin)
T0003Q,Cyclophilins
T0003R,Cyclophilins
T0003S,Bcl-2 and Bcl-XL with BAX; BAK and BID
T0003T,Integrins
T0003U,Integrins
T0003V,Integrins
T0003W,Integrins
T0003X,Integrins
T0003Y,Integrins
T0003Z,FKBP1A/FK506
T00040,Integrins
T00041,Integrins
T00042,Bcl-2 and Bcl-XL with BAX; BAK and BID
T00043,Bcl-2 and Bcl-XL with BAX; BAK and BID
T00044,XIAP/Caspase9 or SMAC (BIR3 domanin)
T00045,FKBP1A/FK506
T00046,Bcl-2 and Bcl-XL with BAX; BAK and BID
T00047,Integrins
T00048,Integrins
T00049,Integrins
T0004A,Integrins
T0004B,Integrins
T0004C,Integrins
T0004D,Integrins
T0004E,Integrins
T0004F,Integrins
T0004G,Integrins
T0004H,Integrins
T0004I,Integrins
T0004J,Neuropilin-1/VEGF-A
T0004K,FKBP1A/FK506
T0004L,Rac1/GEFs
T0004M,Integrins
T0004N,Integrins
T0004O,Integrins
T0004P,Integrins
T0004Q,Integrins
T0004R,Integrins
T0004S,Integrins
T0004T,Cyclophilins
T0004U,Cyclophilins
T0004V,Integrins
T0004W,Bcl-2 and Bcl-XL with BAX; BAK and BID
T0004X,Integrins
T0004Y,Integrins
T0004Z,Integrins
T00050,Integrins
T00051,Integrins
T00052,Integrins
T00053,Integrins
T00054,Integrins
T00055,FKBP1A/FK506
T00056,Integrins
T00057,Integrins
T00058,Integrins
T00059,Integrins
T0005A,Bcl-2 and Bcl-XL with BAX; BAK and BID
T0005B,Bcl-2 and Bcl-XL with BAX; BAK and BID
T0005C,Integrins
T0005D,STAT3 dimer
T0005E,Bcl-2 and Bcl-XL with BAX; BAK and BID
T0005F,Bcl-2 and Bcl-XL with BAX; BAK and BID
T0005G,CRM1/Rev
T0005H,Integrins
T0005I,Integrins
T0005J,Integrins
T0005K,Neuropilin-1/VEGF-A
T0005L,FKBP1A/FK506
T0005M,Integrins
T0005N,Integrins
T0005O,Integrins
T0005P,Integrins
T0005Q,BetaCatenin/Tcf4 and Tcf3
T0005R,Bcl-2 and Bcl-XL with BAX; BAK and BID
T0005S,Integrins
T0005T,Integrins
T0005U,Integrins
T0005V,Integrins
T0005W,Integrins
T0005X,Integrins
T0005Y,XIAP/Caspase9 or SMAC (BIR3 domanin)
T0005Z,HIF-1a/p300
T00060,Integrins
T00061,Transthyretin tetramer
T00062,Integrins
T00063,BRD4/NUT
T00064,Integrins
T00065,Integrins
T00066,Cyclophilins
T00067,HIF-1a/p300
T00068,Integrins
T00069,Integrins
T0006A,Integrins
T0006B,Integrins
T0006C,Integrins
T0006D,Integrins
T0006E,Integrins
T0006F,Integrins
T0006G,Integrins
T0006H,Integrins
T0006I,Bcl-2 and Bcl-XL with BAX; BAK and BID
T0006J,Bcl-2 and Bcl-XL with BAX; BAK and BID
T0006K,Bcl-2 and Bcl-XL with BAX; BAK and BID
T0006L,Bcl-2 and Bcl-XL with BAX; BAK and BID
T0006M,Integrins
T0006N,Bcl-2 and Bcl-XL with BAX; BAK and BID
T0006O,Integrins
T0006P,Integrins
T0006Q,Integrins
T0006R,Integrins
T0006S,XIAP/Caspase9 or SMAC (BIR3 domanin)
T0006T,p53/MDM2
T0006U,XIAP/Caspase9 or SMAC (BIR3 domanin)
T0006V,Integrins
T0006W,Integrins
T0006X,Integrins
T0006Y,Integrins
T0006Z,Integrins
T00070,Transthyretin tetramer
T00071,Integrins
T00072,Integrins
T00073,Integrins
T00074,p53/MDM2
T00075,FKBP1A/FK506
T00076,FKBP1A/FK506
T00077,BRD4/NUT
T00078,HIF-1a/p300
T00079,Integrins
T0007A,Rac1/GEFs
T0007B,Integrins
T0007C,Neuropilin-1/VEGF-A
T0007D,Integrins
T0007E,Integrins
T0007F,Integrins
T0007G,FKBP1A/FK506
T0007H,Bcl-2 and Bcl-XL with BAX; BAK and BID
T0007I,Bcl-2 and Bcl-XL with BAX; BAK and BID
T0007J,FKBP1A/FK506
T0007K,Integrins
T0007L,Integrins
T0007M,Integrins
T0007N,FKBP1A/FK506
T0007O,HIF-1a/p300
T0007P,Integrins
T0007Q,Integrins
T0007R,Integrins
T0007S,Integrins
T0007T,Integrins
T0007U,Integrins
T0007V,Integrins
T0007W,Integrins
T0007X,Integrins
T0007Y,Integrins
T0007Z,Integrins
T00080,Integrins
T00081,Integrins
T00082,Integrins
T00083,Integrins
T00084,Rac1/GEFs
T00085,p53/MDMX
T00086,Bcl-2 and Bcl-XL with BAX; BAK and BID
T00087,Integrins
T00088,Integrins
T00089,S100B/p53
T0008A,Integrins
T0008B,Integrins
T0008C,Integrins
T0008D,Integrins
T0008E,Integrins
T0008F,Integrins
T0008G,Integrins
T0008H,Integrins
T0008I,Integrins
T0008J,Integrins
T0008K,Integrins
T0008L,Bcl-2 and Bcl-XL with BAX; BAK and BID
T0008M,Bcl-2 and Bcl-XL with BAX; BAK and BID
T0008N,Integrins
T0008O,Integrins
T0008P,HIF-1a/p300
T0008Q,Integrins
T0008R,Integrins
T0008S,Integrins
T0008T,Tubulin dimer
T0008U,Integrins
T0008V,Integrins
T0008W,Integrins
T0008X,Tubulin dimer
T0008Y,HIF-1a/p300
T0008Z,Integrins
T00090,Integrins
T00091,Neuropilin-1/VEGF-A
T00092,Integrins
T00093,Integrins
T00094,Integrins
T00095,Integrins
T00096,Integrins
T00097,Integrins
T00098,Integrins
T00099,Integrins
T0009A,Integrins
T0009B,Integrins
T0009C,Integrins
T0009D,Integrins
T0009E,Integrins
T0009F,FKBP1A/FK506
T0009G,Bcl-2 and Bcl-XL with BAX; BAK and BID
T0009H,Integrins
T0009I,Integrins
T0009J,Integrins
T0009K,Integrins
T0009L,Integrins
T0009M,Integrins
T0009N,Integrins
T0009O,Integrins
T0009P,Integrins
T0009Q,Bcl-2 and Bcl-XL with BAX; BAK and BID
T0009R,HIF-1a/p300
T0009S,Integrins
T0009T,Integrins
T0009U,MLL/Menin
T0009V,MLL/Menin
T0009W,Integrins
T0009X,Integrins
T0009Y,p53/MDM2
T0009Z,Bcl-2 and Bcl-XL with BAX; BAK and BID
T000A0,XIAP/Caspase9 or SMAC (BIR3 domanin)
T000A1,Integrins
T000A2,Integrins
T000A3,Integrins
T000A4,Integrins
T000A5,p53/MDMX
T000A6,p53/MDM2
T000A7,Integrins
T000A8,Cyclophilins
T000A9,Integrins
T000AA,Integrins
T000AB,Integrins
T000AC,Integrins
T000AD,Integrins
T000AE,Integrins
T000AF,Integrins
T000AG,Integrins
T000AH,Integrins
T000AI,Integrins
T000AJ,Integrins
T000AK,Integrins
T000AL,Integrins
T000AM,Integrins
T000AN,Integrins
T000AO,Integrins
T000AP,Integrins
T000AQ,Integrins
T000AR,Integrins
T000AS,Integrins
T000AT,Integrins
T000AU,p53/MDMX
T000AV,p53/MDM2
T000AW,Integrins
T000AX,Bcl-2 and Bcl-XL with BAX; BAK and BID
T000AY,Bcl-2 and Bcl-XL with BAX; BAK and BID
T000AZ,Integrins
T000B0,Integrins
T000B1,Integrins
T000B2,Integrins
T000B3,Integrins
T000B4,Neuropilin-1/VEGF-A
T000B5,Integrins
T000B6,Integrins
T000B7,p53/MDM2
T000B8,Integrins
T000B9,Integrins
T000BA,Neuropilin-1/VEGF-A
T000BB,Integrins
T000BC,Integrins
T000BD,Integrins
T000BE,Integrins
T000BF,Bcl-2 and Bcl-XL with BAX; BAK and BID
T000BG,HIF-1a/p300
T000BH,Integrins
T000BI,Integrins
T000BJ,Integrins
T000BK,BRD4/NUT
T000BL,Integrins
T000BM,Integrins
T000BN,Integrins
T000BO,Integrins
T000BP,Integrins
T000BQ,Integrins
T000BR,Integrins
T000BS,FKBP1A/FK506
T000BT,Integrins
T000BU,Integrins
T000BV,Integrins
T000BW,Integrins
T000BX,Bcl-2 and Bcl-XL with BAX; BAK and BID
T000BY,Integrins
T000BZ,Integrins
T000C0,Integrins
T000C1,Integrins
T000C2,Cyclophilins
T000C3,p53/MDM2
T000C4,Integrins
T000C5,Integrins
T000C6,Cyclophilins
T000C7,Integrins
T000C8,Integrins
T000C9,Integrins
T000CA,Bcl-2 and Bcl-XL with BAX; BAK and BID
T000CB,Bcl-2 and Bcl-XL with BAX; BAK and BID
T000CC,HIF-1a/p300
T000CD,HIF-1a/p300
T000CE,Integrins
