"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL312929";"";"";"Small molecule";"";"522.61";"4";"5";"2.26";"135.60";"8";"4";"1";"9";"N";"0.39";"3.64";"9.97";"0.33";"0.33";"2";"MOL";"-1";"38";"11";"4";"2";"522.2591";"-0.84";"ZWITTERION";"C27H34N6O5";"O=C(N[C@@H](CCC(=O)N1CCN(c2cccc(NC3=NCCCN3)c2)CC1)C(=O)O)OCc1ccccc1";"FSKOAKSLUAJDDL-QHCPKHFHSA-N"
"CHEMBL84683";"";"";"Small molecule";"";"488.59";"4";"4";"1.71";"135.60";"8";"4";"0";"9";"N";"0.41";"3.74";"9.97";"-0.15";"-0.15";"1";"MOL";"-1";"35";"11";"4";"1";"488.2747";"-0.90";"ZWITTERION";"C24H36N6O5";"CC(C)COC(=O)N[C@@H](CCC(=O)N1CCN(c2cccc(NC3=NCCCN3)c2)CC1)C(=O)O";"HLXLTYRHIUOBBV-FQEVSTJZSA-N"
"CHEMBL87372";"";"";"Small molecule";"";"506.58";"5";"11";"1.66";"135.60";"8";"4";"1";"9";"N";"0.40";"3.90";"9.17";"0.05";"0.04";"1";"MOL";"-1";"36";"11";"4";"2";"506.2653";"-0.89";"ZWITTERION";"C24H35FN6O5";"CC(C)COC(=O)N[C@@H](CCC(=O)N1CCN(c2cccc(NC3=NCC(F)CN3)c2)CC1)C(=O)O";"KBFHSTNZWSMOOM-FQEVSTJZSA-N"
"CHEMBL350668";"";"";"Small molecule";"";"435.51";"7";"8";"3.95";"141.19";"5";"5";"0";"8";"N";"0.20";"3.54";"8.67";"1.08";"1.07";"3";"MOL";"-1";"31";"8";"6";"1";"435.1365";"-1.15";"ZWITTERION";"C22H21N5O3S";"N=C(N)Nc1cccc(C(=O)Nc2ccc(SC(CC(=O)O)c3cccnc3)cc2)c1";"DKIPXVAZUQYHHQ-UHFFFAOYSA-N"
"CHEMBL430249";"";"";"Small molecule";"";"351.32";"4";"4";"-1.74";"212.52";"5";"8";"1";"6";"N";"0.17";"3.67";"8.98";"-3.95";"-3.96";"1";"MOL";"-1";"25";"12";"10";"2";"351.1291";"-1.15";"ZWITTERION";"C13H17N7O5";"N=C(N)Nc1cccc(C(=O)NNC(=O)NC(CC(=O)O)C(N)=O)c1";"RWPTVACWWYHISB-UHFFFAOYSA-N"
"CHEMBL148147";"";"";"Small molecule";"";"615.61";"3";"4";"1.56";"174.47";"6";"6";"2";"10";"N";"0.18";"3.27";"11.89";"0.07";"0.07";"3";"MOL";"-1";"34";"10";"7";"2";"501.1141";"-0.93";"ZWITTERION";"C24H24F3N5O7S2";"N=C(N)NCc1ccc(-c2ccc(C(=O)NC[C@H](NS(=O)(=O)c3ccccc3)C(=O)O)s2)cc1.O=C(O)C(F)(F)F";"WNYUVIAMCZBTRV-LMOVPXPDSA-N"
"CHEMBL2373038";"";"";"Protein";"";"574.64";"3";"3";"-2.52";"247.20";"7";"8";"2";"9";"N";"0.09";"3.93";"10.35";"-3.96";"-3.96";"1";"BOTH";"-1";"41";"15";"10";"3";"574.2863";"1.31";"ZWITTERION";"C26H38N8O7";"CC(C)[C@@H]1NC(=O)[C@H](CCCN=C(N)N)NC(=O)CNC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2ccccc2)NC1=O";"MHOGEKRNTRTBND-NTLWEQJWSA-N"
"CHEMBL84578";"";"";"Small molecule";"";"540.60";"5";"9";"2.20";"135.60";"8";"4";"1";"9";"N";"0.38";"3.76";"9.17";"0.53";"0.52";"2";"MOL";"-1";"39";"11";"4";"2";"540.2496";"-0.84";"ZWITTERION";"C27H33FN6O5";"O=C(N[C@@H](CCC(=O)N1CCN(c2cccc(NC3=NCC(F)CN3)c2)CC1)C(=O)O)OCc1ccccc1";"HAMNCHGAVJSNBY-QHCPKHFHSA-N"
"CHEMBL338439";"";"";"Small molecule";"";"678.77";"5";"6";"2.89";"188.62";"10";"4";"1";"12";"N";"0.22";"3.33";"6.63";"2.13";"1.33";"3";"MOL";"-1";"48";"14";"4";"2";"678.2472";"-0.54";"ACID";"C33H38N6O8S";"Cc1cc(C)c(S(=O)(=O)N[C@@H](CNC(=O)C2=NO[C@]3(C2)C[C@@H](CNc2ccccn2)N(C(=O)OCc2ccccc2)C3)C(=O)O)c(C)c1";"IBXMYCNAAVLIET-SUPILHGUSA-N"
"CHEMBL149121";"";"";"Small molecule";"";"615.61";"8";"11";"1.56";"174.47";"6";"6";"2";"10";"N";"0.18";"3.26";"11.87";"0.07";"0.07";"3";"MOL";"-1";"34";"10";"7";"2";"501.1141";"-0.96";"ZWITTERION";"C24H24F3N5O7S2";"N=C(N)NCc1cccc(-c2ccc(C(=O)NC[C@H](NS(=O)(=O)c3ccccc3)C(=O)O)s2)c1.O=C(O)C(F)(F)F";"VJKORSBWUAIYSD-LMOVPXPDSA-N"
