"ChEMBL ID";"Name";"UniProt Accessions";"Type";"Organism";"Compounds";"Activities";"Tax ID";"Species Group Flag"
"CHEMBL3430893";"Integrin alpha-V/alpha-5";"P06756|P08648";"PROTEIN COMPLEX";"Homo sapiens";"6";"6";"9606";"False"
"CHEMBL3137268";"Integrin alpha2/beta1";"P05556|P17301";"PROTEIN COMPLEX";"Homo sapiens";"57";"62";"9606";"False"
"CHEMBL3137286";"EZH2/SUZ12/EED complex";"Q15910|O75530|Q15022";"PROTEIN COMPLEX";"Homo sapiens";"10";"16";"9606";"False"
"CHEMBL2111481";"Integrin alpha-4/beta-7";"Q00651|P26011";"PROTEIN COMPLEX";"Mus musculus";"22";"55";"10090";"False"
"CHEMBL4106121";"MAC1-CD40L";"P05107|P11215|P29965";"PROTEIN-PROTEIN INTERACTION";"Homo sapiens";"6";"6";"9606";"False"
"CHEMBL3137278";"Integrin alpha1/beta1 complex";"P05556|P56199";"PROTEIN COMPLEX";"Homo sapiens";"6";"6";"9606";"False"
"CHEMBL3883284";"Integrin alpha-3/beta-3";"P05106|P26006";"PROTEIN COMPLEX";"Homo sapiens";"25";"47";"9606";"False"
"CHEMBL2111443";"Integrin alpha-V/beta-3 and alpha-IIb/beta 3";"P05106|P06756|P08514";"SELECTIVITY GROUP";"Homo sapiens";"49";"49";"9606";"False"
"CHEMBL4748218";"VHL/Polycomb protein EED";"O75530|P40337";"PROTEIN-PROTEIN INTERACTION";"Homo sapiens";"2";"6";"9606";"False"
"CHEMBL3301388";"EZH2/SUZ12/EED/RBBP7/RBBP4";"Q15910|O75530|Q15022|Q09028|Q16576";"PROTEIN COMPLEX";"Homo sapiens";"7";"11";"9606";"False"
"CHEMBL4106150";"Integrin alpha-V/beta-3/alpha-V/beta-5";"P05106|P06756|P18084";"PROTEIN COMPLEX";"Homo sapiens";"8";"8";"9606";"False"
"CHEMBL4523628";"Integrin alpha-V/Integrin beta-5";"P43406|O70309";"PROTEIN COMPLEX";"Mus musculus";"2";"2";"10090";"False"
"CHEMBL3885596";"ITGA6-ITGB1 complex";"P05556|P23229";"PROTEIN COMPLEX";"Homo sapiens";"1";"1";"9606";"False"
"CHEMBL3883325";"Integrin alpha-IIb/beta-3";"Q9TUN4|Q9TUN3";"PROTEIN COMPLEX";"Oryctolagus cuniculus";"34";"53";"9986";"False"
"CHEMBL3885595";"Integrin alpha-5/Neuronal acetylcholine receptor subunit alpha-3/Neuronal acetylcholine receptor subunit beta-2/Neuronal acetylcholine receptor subunit beta-4";"P17787|P30926|P32297|P08648";"PROTEIN COMPLEX";"Homo sapiens";"13";"25";"9606";"False"
"CHEMBL3137287";"EZH1/SUZ12/EED/AEBP2/RBBP4 complex";"Q92800|O75530|Q15022|Q6ZN18|Q09028";"PROTEIN COMPLEX";"Homo sapiens";"29";"29";"9606";"False"
"CHEMBL2093869";"Integrin alpha-IIb/beta-3";"P05106|P08514";"PROTEIN COMPLEX";"Homo sapiens";"2338";"3481";"9606";"False"
"CHEMBL2111416";"Integrin alpha-V/beta-6";"P06756|P18564";"PROTEIN COMPLEX";"Homo sapiens";"366";"509";"9606";"False"
"CHEMBL4296069";"Integrin subunit alpha 2b/beta-3";"D3ZAC0|Q8R2H2";"PROTEIN COMPLEX";"Rattus norvegicus";"11";"18";"10116";"False"
"CHEMBL2096661";"Intercellular adhesion molecule (ICAM-1), Integrin alpha-L/beta-2";"P20701|P05362|P05107";"PROTEIN COMPLEX";"Homo sapiens";"588";"760";"9606";"False"
"CHEMBL3430891";"Integrin alpha-V/beta-3";"O54890|P43406";"PROTEIN COMPLEX";"Mus musculus";"4";"4";"10090";"False"
"CHEMBL3430895";"Integrin alpha-10/Integrin beta-1";"P05556|O75578";"PROTEIN COMPLEX";"Homo sapiens";"1";"1";"9606";"False"
"CHEMBL2111461";"Integrin alpha-2/beta-3";"P05106|P17301";"PROTEIN COMPLEX";"Homo sapiens";"20";"21";"9606";"False"
"CHEMBL2111407";"Integrin alpha-V/beta-1";"P05556|P06756";"PROTEIN COMPLEX";"Homo sapiens";"170";"222";"9606";"False"
"CHEMBL2095184";"Integrin alpha-4/beta-7";"P13612|P26010";"PROTEIN COMPLEX";"Homo sapiens";"522";"610";"9606";"False"
"CHEMBL2111425";"Fibronectin receptor (Integrin alpha-5/beta-1 and alpha-V/beta-3)";"P05106|P05556|P06756|P08648";"PROTEIN COMPLEX GROUP";"Homo sapiens";"37";"39";"9606";"False"
"CHEMBL2095226";"Integrin alpha-5/beta-1";"P05556|P08648";"PROTEIN COMPLEX";"Homo sapiens";"463";"685";"9606";"False"
"CHEMBL3885597";"ITGB1-ITGA9 complex";"P05556|Q13797";"PROTEIN COMPLEX";"Homo sapiens";"10";"10";"9606";"False"
"CHEMBL3430894";"Integrin alpha-IIb/beta-3";"Q9QUM0|O54890";"PROTEIN COMPLEX";"Mus musculus";"4";"4";"10090";"False"
"CHEMBL3430892";"Integrin alpha-V/beta-8";"P06756|P26012";"PROTEIN COMPLEX";"Homo sapiens";"161";"181";"9606";"False"
"CHEMBL2364172";"Integrin alpha-L/beta-2 (LFA-1)";"P20701|P05107";"PROTEIN COMPLEX";"Homo sapiens";"33";"51";"9606";"False"
"CHEMBL1907599";"Integrin alpha-4/beta-1";"P05556|P13612";"PROTEIN COMPLEX";"Homo sapiens";"1452";"2269";"9606";"False"
"CHEMBL2111362";"Integrin alpha-M/beta-2";"P05107|P11215";"PROTEIN COMPLEX";"Homo sapiens";"27";"30";"9606";"False"
"CHEMBL2096675";"Integrin alpha-V/beta-5";"P06756|P18084";"PROTEIN COMPLEX";"Homo sapiens";"454";"589";"9606";"False"
"CHEMBL1907598";"Integrin alpha-V/beta-3";"P05106|P06756";"PROTEIN COMPLEX";"Homo sapiens";"2001";"2705";"9606";"False"
