Target Pref Name,DLiP-ID,Informative Target Pref Name
BCL2-Like_BAX,I0011I,
BCL2-Like_BAX,I00006,BCL2/BAX
BCL2-Like_BAX,I00006,BCL2/BAX
BCL2-Like_BAX,I00009,BCL2/BAX
BCL2-Like_BAX,I00009,MCL1/BAX
BCL2-Like_BAX,I00009,MCL1/BAX
BCL2-Like_BAX,I00009,BCL2/BAX
BCL2-Like_BAX,I0000A,
BCL2-Like_BAX,I0000B,MCL1/BAX
BCL2-Like_BAX,I0000B,BCL2/BAX
BCL2-Like_BAX,I0000B,BCL2/BAX
BCL2-Like_BAX,I0000B,MCL1/BAX
BCL2-Like_BAX,I0000C,
BCL2-Like_BAX,I0000F,
BCL2-Like_BAX,I0000G,BCL2/BAX
BCL2-Like_BAX,I0000G,B2CL1/BAX
BCL2-Like_BAX,I0000G,BCL2/BAX
BCL2-Like_BAX,I0000G,B2CL1/BAX
BCL2-Like_BAX,I0004A,BCL2/BAX
BCL2-Like_BAX,I0004A,MCL1/BAX
BCL2-Like_BAX,I0004A,BCL2/BAX
BCL2-Like_BAX,I0004A,MCL1/BAX
BCL2-Like_BAX,I0001B,BCL2/BAX
BCL2-Like_BAX,I0001B,BCL2/BAX
BCL2-Like_BAX,I0001D,B2CL1/BAX
BCL2-Like_BAX,I0001D,BCL2/BAX
BCL2-Like_BAX,I0001D,BCL2/BAX
BCL2-Like_BAX,I0001D,B2CL1/BAX
BCL2-Like_BAX,I0001E,
BCL2-Like_BAX,I0001I,BCL2/BAX
BCL2-Like_BAX,I0001I,BCL2/BAX
BCL2-Like_BAX,I0001J,B2CL1/BAX
BCL2-Like_BAX,I0001J,B2CL1/BAX
BCL2-Like_BAX,I00028,BCL2/BAX
BCL2-Like_BAX,I00028,BCL2/BAX
BCL2-Like_BAX,I0001P,
BCL2-Like_BAX,I0001Q,BCL2/BAX
BCL2-Like_BAX,I0001Q,B2CL1/BAX
BCL2-Like_BAX,I0001Q,B2CL1/BAX
BCL2-Like_BAX,I0001Q,BCL2/BAX
BCL2-Like_BAX,I0001W,BCL2/BAX
BCL2-Like_BAX,I0001W,B2CL2/BAX
BCL2-Like_BAX,I0001W,B2CL2/BAX
BCL2-Like_BAX,I0001W,BCL2/BAX
BCL2-Like_BAX,I0001X,
BCL2-Like_BAX,I00020,BCL2/BAX
BCL2-Like_BAX,I00020,BCL2/BAX
BCL2-Like_BAX,I00022,B2CL1/BAX
BCL2-Like_BAX,I00022,B2CL1/BAX
BCL2-Like_BAX,I00022,BCL2/BAX
BCL2-Like_BAX,I00022,BCL2/BAX
BCL2-Like_BAX,I00023,
BCL2-Like_BAX,I00029,MCL1/BAX
BCL2-Like_BAX,I00029,BCL2/BAX
BCL2-Like_BAX,I00029,BCL2/BAX
BCL2-Like_BAX,I00029,MCL1/BAX
BCL2-Like_BAX,I0002A,
BCL2-Like_BAX,I0002F,B2CL1/BAX
BCL2-Like_BAX,I0002F,B2CL1/BAX
BCL2-Like_BAX,I0002F,BCL2/BAX
BCL2-Like_BAX,I0002F,BCL2/BAX
BCL2-Like_BAX,I0002G,
BCL2-Like_BAX,I0002K,B2CL1/BAX
BCL2-Like_BAX,I0002K,BCL2/BAX
BCL2-Like_BAX,I0002K,B2CL1/BAX
BCL2-Like_BAX,I0002K,BCL2/BAX
BCL2-Like_BAX,I0002L,
BCL2-Like_BAX,I0002S,B2CL1/BAX
BCL2-Like_BAX,I0002S,BCL2/BAX
BCL2-Like_BAX,I0002S,BCL2/BAX
BCL2-Like_BAX,I0002S,B2CL1/BAX
BCL2-Like_BAX,I0002T,
BCL2-Like_BAX,I00034,BCL2/BAX
BCL2-Like_BAX,I00034,BCL2/BAX
